author,filename,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,shall,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
dispt,dispt_fed_63.txt,0.276,0.048,0.015,0.082,0.324,0.044,0.058,0.135,0.048,0.29,0.053,0.044,0.227,0.068,0.005,0,0.019,0.029,0.121,0.073,0.034,0.024,0.102,0.01,0,0.029,0.295,0.029,0.169,0.145,0.082,0.087,0.019,0.058,0,0.029,0.126,0.005,0.832,0.092,0.044,0.053,0.082,0.01,0.005,0.01,0.029,0.058,0.048,0.039,0.242,1.273,0.073,0.01,0.029,0.005,0.077,0.406,0.01,0,0.044,0.024,0.005,0.015,0.174,0.015,0.092,0.077,0.053,0
Hamilton,Hamilton_fed_1.txt,0.213,0.083,0,0.083,0.343,0.056,0.111,0.093,0.065,0.315,0.028,0,0.13,0.028,0.009,0,0.019,0.028,0.093,0.102,0.009,0.056,0.093,0,0,0.028,0.232,0.019,0.12,0.139,0.074,0.102,0.065,0.028,0.056,0.028,0.13,0,0.908,0.074,0.028,0,0.056,0.028,0.065,0.009,0.019,0,0.009,0.102,0.241,1.094,0.13,0,0.019,0,0.083,0.575,0,0.056,0,0,0,0.009,0.158,0.074,0.222,0.046,0.019,0.074
Hamilton,Hamilton_fed_11.txt,0.369,0.07,0.006,0.076,0.411,0.023,0.053,0.117,0.065,0.258,0.018,0.023,0.106,0.029,0.012,0,0.018,0.012,0.106,0.111,0.006,0.047,0.088,0.076,0.006,0.029,0.387,0.023,0.053,0.088,0.035,0.053,0.053,0.012,0,0.029,0.117,0.006,1.061,0.029,0.029,0.029,0.07,0.199,0.018,0.018,0.029,0.006,0.029,0.035,0.141,1.044,0.059,0.012,0.023,0.006,0.106,0.481,0,0.035,0,0.012,0.012,0.012,0.147,0.029,0.094,0.129,0.27,0
Hamilton,Hamilton_fed_12.txt,0.305,0.047,0.007,0.068,0.386,0.047,0.102,0.108,0.088,0.271,0.054,0.041,0.095,0.014,0,0,0.014,0.027,0.054,0.129,0.02,0.088,0.088,0.007,0.014,0.027,0.311,0.047,0.149,0.142,0.047,0.02,0.034,0.108,0.007,0.007,0.041,0.007,0.961,0.081,0.027,0,0.047,0.034,0.007,0.027,0.041,0.014,0.02,0.027,0.176,1.097,0.095,0,0.041,0.014,0.095,0.555,0,0.041,0,0,0.007,0,0.156,0.007,0.074,0.122,0.149,0
Hamilton,Hamilton_fed_13.txt,0.391,0.045,0.015,0.03,0.27,0.045,0.06,0.09,0.015,0.376,0.03,0.03,0.075,0.06,0.015,0,0,0.045,0.03,0.075,0,0.03,0.06,0.15,0,0.045,0.24,0.105,0.135,0.09,0.03,0.12,0.09,0.045,0,0.045,0.075,0,0.887,0.045,0.135,0,0.045,0,0.045,0,0.045,0,0.015,0.15,0.27,1.052,0.015,0,0.105,0,0.03,0.646,0.015,0.03,0,0,0,0.045,0.165,0.045,0.135,0.15,0.21,0
Hamilton,Hamilton_fed_15.txt,0.327,0.096,0,0.086,0.356,0.014,0.086,0.072,0.115,0.211,0.067,0.034,0.154,0.067,0.019,0.005,0.014,0.038,0.086,0.101,0.01,0.062,0.144,0,0.005,0.014,0.317,0.019,0.207,0.096,0.038,0.034,0.029,0.043,0.014,0.029,0.077,0.01,0.947,0.048,0.005,0.038,0.183,0.091,0.005,0.029,0.01,0.01,0.005,0.048,0.178,1.163,0.034,0,0.072,0.01,0.086,0.557,0.005,0.048,0.014,0.038,0.014,0.019,0.264,0.029,0.091,0.086,0.062,0.01
Hamilton,Hamilton_fed_16.txt,0.26,0.065,0,0.087,0.274,0.079,0.022,0.13,0.079,0.397,0.051,0.036,0.094,0.007,0.014,0.007,0.029,0.007,0.065,0.079,0.036,0.051,0.087,0,0,0.058,0.274,0.022,0.101,0.188,0.116,0.036,0.043,0.065,0,0.029,0.137,0.007,1.04,0.029,0.014,0.022,0.123,0.007,0.007,0.043,0.022,0.022,0.022,0.029,0.116,1.322,0.087,0,0.022,0,0.101,0.628,0,0.043,0,0.051,0.014,0.014,0.159,0.036,0.043,0.094,0.26,0
Hamilton,Hamilton_fed_17.txt,0.261,0.108,0,0.072,0.467,0.018,0.045,0.027,0.063,0.216,0.027,0.009,0.081,0.018,0,0,0,0.009,0.099,0.045,0.018,0.036,0.036,0,0.063,0.018,0.252,0.027,0.099,0.09,0.054,0.036,0.081,0.009,0.009,0,0.036,0,0.998,0.018,0.018,0,0.117,0.018,0.009,0.018,0.036,0.009,0,0.045,0.189,1.366,0.09,0,0.018,0.009,0.045,0.521,0,0.045,0.054,0.036,0.009,0,0.216,0.018,0.117,0.09,0.108,0
Hamilton,Hamilton_fed_21.txt,0.449,0.022,0,0.074,0.353,0.044,0.059,0.133,0.029,0.295,0.081,0.015,0.162,0.066,0.015,0,0.015,0.022,0.037,0.118,0.007,0.066,0.066,0.007,0.015,0.044,0.331,0,0.199,0.103,0.081,0.081,0.022,0.029,0,0.081,0.059,0.022,1.119,0.044,0.007,0.015,0.147,0.007,0.037,0.037,0.052,0.022,0.022,0.029,0.177,1.23,0.059,0,0.029,0.015,0.096,0.39,0,0.044,0.007,0.015,0.015,0.007,0.147,0.022,0.044,0.11,0.088,0
Hamilton,Hamilton_fed_22.txt,0.392,0.05,0.004,0.075,0.329,0.029,0.075,0.104,0.05,0.221,0.067,0.05,0.125,0.025,0.008,0,0.021,0.029,0.088,0.096,0.013,0.083,0.058,0.004,0.029,0.025,0.321,0.017,0.192,0.146,0.067,0.083,0.025,0.038,0.004,0.021,0.104,0.004,1.008,0.038,0.038,0.004,0.088,0.05,0.008,0.033,0.038,0.017,0.038,0.046,0.221,1.125,0.092,0.004,0.054,0.008,0.108,0.579,0.004,0.05,0.029,0.038,0.017,0.008,0.15,0.013,0.046,0.083,0.083,0
Hamilton,Hamilton_fed_23.txt,0.194,0.081,0,0.089,0.413,0.065,0.138,0.186,0.024,0.356,0.049,0.024,0.089,0.089,0,0,0,0.024,0.13,0.049,0.008,0.041,0.081,0,0,0.016,0.211,0.016,0.154,0.154,0.089,0.049,0.016,0.073,0,0.016,0.081,0.008,0.81,0.016,0.024,0,0.049,0.057,0.008,0.016,0.008,0.008,0.057,0,0.227,1.45,0.065,0,0.032,0,0.073,0.753,0,0.057,0.032,0.008,0,0,0.243,0.016,0.122,0.13,0.032,0
Hamilton,Hamilton_fed_24.txt,0.361,0.059,0.007,0.066,0.42,0.044,0.074,0.088,0.052,0.383,0.029,0.037,0.103,0.022,0.015,0,0.037,0.007,0.074,0.074,0.037,0.066,0.088,0.007,0.037,0.044,0.406,0.007,0.074,0.133,0.029,0.029,0.007,0.044,0,0.015,0.088,0.022,0.877,0.066,0.059,0.022,0.088,0.088,0.007,0.044,0.029,0.029,0.029,0.029,0.243,1.04,0.096,0,0.037,0,0.147,0.649,0.029,0.052,0.052,0,0,0,0.111,0.007,0.059,0.037,0.184,0
Hamilton,Hamilton_fed_25.txt,0.329,0.037,0.007,0.052,0.329,0.03,0.105,0.165,0.082,0.389,0.045,0.022,0.165,0.022,0.007,0,0.022,0.007,0.075,0.09,0.03,0.037,0.082,0.022,0,0,0.285,0.007,0.127,0.15,0.067,0.022,0.015,0.037,0,0.015,0.06,0,0.936,0.075,0.015,0.015,0.105,0.075,0.037,0.037,0.007,0.037,0.03,0.03,0.225,1.205,0.082,0.015,0.007,0.015,0.112,0.674,0.03,0.007,0.03,0.007,0.007,0.015,0.112,0.007,0.075,0.06,0.157,0
Hamilton,Hamilton_fed_26.txt,0.329,0.051,0,0.133,0.297,0.063,0.038,0.088,0.063,0.335,0.051,0.038,0.133,0.019,0,0,0.032,0.025,0.133,0.063,0.044,0.038,0.101,0,0.038,0.082,0.398,0.051,0.139,0.209,0.025,0.063,0.019,0.025,0,0.025,0.133,0,0.929,0.044,0.032,0.032,0.076,0.032,0.006,0.038,0.063,0.025,0.057,0.032,0.265,1.195,0.063,0.019,0.051,0,0.088,0.6,0.032,0.038,0.063,0.044,0.006,0.019,0.133,0.019,0.07,0.051,0.101,0
Hamilton,Hamilton_fed_27.txt,0.27,0.04,0,0.05,0.32,0.07,0.1,0.08,0.04,0.34,0.06,0.04,0.14,0.11,0,0.01,0,0,0.07,0.05,0,0.02,0.05,0,0.03,0.03,0.31,0.03,0.14,0.15,0.15,0.04,0.08,0.02,0,0.03,0.02,0,0.94,0.04,0.01,0.04,0.14,0,0,0.02,0.02,0.01,0.03,0.07,0.38,1.47,0.06,0,0.08,0.01,0.08,0.63,0,0.04,0.01,0,0.02,0.01,0.19,0.01,0.34,0.06,0.03,0
Hamilton,Hamilton_fed_28.txt,0.299,0.127,0,0.109,0.308,0.018,0.054,0.091,0.063,0.371,0.036,0.027,0.063,0.109,0.009,0,0.018,0,0.127,0.054,0.027,0.045,0.1,0.027,0,0.036,0.353,0.009,0.118,0.145,0.072,0.063,0.081,0.063,0,0.054,0.072,0,0.887,0.009,0.036,0.018,0.072,0.009,0,0.072,0.009,0,0.018,0.027,0.172,1.43,0.118,0.018,0.063,0,0.054,0.597,0,0.027,0.009,0.018,0.018,0.009,0.127,0.027,0.118,0.081,0.081,0
Hamilton,Hamilton_fed_29.txt,0.325,0.027,0,0.095,0.379,0.041,0.061,0.176,0.068,0.339,0.041,0.027,0.047,0.075,0,0,0.034,0,0.115,0.088,0.014,0.034,0.047,0,0.014,0.041,0.257,0.027,0.203,0.23,0.041,0.047,0.014,0.007,0.007,0.034,0.061,0,1.016,0.02,0.027,0.027,0.108,0.041,0.02,0.054,0.054,0.007,0.027,0.014,0.196,1.436,0.095,0,0.068,0,0.068,0.718,0,0.068,0.027,0.041,0.007,0.014,0.108,0.061,0.075,0.081,0.129,0
Hamilton,Hamilton_fed_30.txt,0.263,0.038,0,0.053,0.338,0.06,0.053,0.165,0.038,0.36,0.075,0.045,0.105,0.083,0,0,0.008,0.053,0.173,0.053,0,0.068,0.083,0,0.015,0.023,0.33,0.045,0.113,0.173,0.15,0.068,0.023,0.09,0,0.038,0.053,0,0.833,0.06,0.038,0.008,0.15,0.023,0,0.03,0.015,0.008,0.03,0.023,0.233,1.178,0.06,0.008,0.038,0,0.12,0.54,0,0.098,0.023,0.008,0.015,0.008,0.15,0.038,0.075,0.09,0.165,0
Hamilton,Hamilton_fed_31.txt,0.196,0.077,0,0.102,0.358,0.043,0.154,0.128,0.043,0.307,0.043,0.026,0.077,0.017,0.009,0,0.017,0.034,0.051,0.085,0,0.009,0.094,0,0,0.017,0.401,0.043,0.196,0.179,0.068,0.085,0.009,0.068,0,0.026,0.102,0,0.887,0.043,0.017,0.026,0.111,0.017,0,0.051,0.06,0.026,0.034,0.051,0.256,1.356,0.085,0,0.051,0.009,0.102,0.682,0.009,0.102,0,0,0.026,0.009,0.171,0.017,0.051,0.094,0.043,0
Hamilton,Hamilton_fed_32.txt,0.344,0.059,0,0.138,0.374,0.049,0.02,0.03,0.02,0.295,0.039,0.089,0.098,0.01,0,0,0.01,0.02,0.039,0.089,0.02,0.02,0.049,0,0,0.049,0.384,0.01,0.157,0.197,0.03,0.02,0,0.01,0,0.059,0.148,0.02,0.895,0.118,0.039,0.039,0.089,0,0.039,0.03,0,0,0.049,0.01,0.315,1.377,0.039,0.02,0.059,0,0.089,0.433,0,0.02,0.03,0.02,0.02,0,0.226,0,0.03,0.039,0.226,0
Hamilton,Hamilton_fed_33.txt,0.381,0.071,0,0.071,0.372,0.062,0.071,0.115,0.018,0.284,0.098,0.08,0.124,0.018,0.018,0,0,0.035,0.08,0.08,0.027,0.027,0.115,0,0,0.027,0.284,0.035,0.231,0.284,0.115,0.089,0.009,0.062,0,0,0.106,0,0.807,0.044,0.018,0.044,0.106,0.009,0.018,0.035,0.027,0.009,0.035,0.009,0.284,1.339,0.044,0.009,0.018,0,0.133,0.576,0.009,0.08,0.027,0.035,0.035,0,0.195,0.027,0.08,0.044,0.133,0
Hamilton,Hamilton_fed_34.txt,0.284,0.041,0,0.088,0.311,0.047,0.129,0.122,0.041,0.284,0.081,0.034,0.027,0.047,0,0.007,0.014,0.014,0.176,0.081,0.014,0.041,0.108,0,0,0.034,0.339,0.014,0.108,0.129,0.074,0.041,0.027,0.027,0.007,0.047,0.095,0.007,0.934,0.074,0.054,0.02,0.074,0.041,0.02,0.041,0.02,0.027,0.02,0.02,0.284,1.232,0.068,0.007,0.047,0,0.095,0.684,0.014,0.068,0.014,0.007,0.02,0.02,0.183,0.02,0.108,0.081,0.135,0
Hamilton,Hamilton_fed_35.txt,0.296,0.046,0,0.086,0.408,0.053,0.099,0.145,0.026,0.296,0.033,0.033,0.066,0.04,0.007,0.013,0.013,0.026,0.072,0.053,0.013,0.02,0.059,0.007,0.066,0.033,0.296,0.033,0.263,0.151,0.02,0.053,0.059,0.007,0,0.033,0.125,0.007,0.863,0.053,0.026,0.013,0.079,0.02,0.026,0.066,0.04,0.007,0.02,0.053,0.244,1.199,0.125,0,0.013,0,0.079,0.652,0.007,0.059,0,0.026,0.007,0.013,0.145,0.04,0.119,0.072,0.105,0
Hamilton,Hamilton_fed_36.txt,0.236,0.055,0,0.071,0.33,0.055,0.088,0.154,0.016,0.434,0.071,0.033,0.11,0.088,0.005,0,0.027,0.011,0.066,0.121,0.016,0.049,0.121,0,0,0.022,0.341,0.022,0.187,0.176,0.093,0.082,0.055,0.055,0.011,0.022,0.077,0.005,0.978,0.033,0.033,0.011,0.154,0.011,0.016,0.027,0.005,0,0.038,0.033,0.225,1.275,0.077,0.005,0.077,0.011,0.104,0.654,0,0.033,0,0.005,0.022,0.011,0.148,0.022,0.148,0.077,0.027,0
Hamilton,Hamilton_fed_59.txt,0.382,0.023,0.008,0.179,0.257,0.086,0.047,0.117,0.062,0.343,0.117,0.039,0.132,0.047,0.008,0,0,0.047,0.101,0.093,0.016,0.047,0.171,0,0,0.023,0.475,0.039,0.132,0.195,0.093,0.132,0.07,0.016,0,0.062,0.101,0,0.888,0.047,0.031,0.016,0.055,0,0.016,0.008,0.023,0.031,0.023,0.055,0.226,1.309,0.078,0,0.047,0,0.117,0.561,0,0.023,0.008,0.016,0,0.016,0.14,0.039,0.164,0.07,0.125,0
Hamilton,Hamilton_fed_6.txt,0.323,0.035,0,0.07,0.513,0,0.105,0.133,0.042,0.126,0.084,0.014,0.077,0.014,0,0,0,0.007,0.084,0.098,0.028,0.049,0.169,0.014,0.021,0.021,0.372,0.049,0.028,0.077,0,0.021,0.056,0.007,0,0,0.112,0.007,1.075,0.014,0.021,0.007,0.133,0.028,0.007,0.014,0.021,0.028,0.014,0.042,0.155,1.11,0.091,0,0.035,0,0.07,0.372,0,0.028,0.07,0.035,0.014,0,0.148,0.049,0.042,0.077,0.042,0
Hamilton,Hamilton_fed_60.txt,0.349,0.066,0,0.079,0.217,0.079,0.066,0.125,0.053,0.441,0.013,0.02,0.138,0.026,0,0,0,0.013,0.079,0.079,0,0.02,0.04,0,0,0.02,0.494,0.033,0.178,0.25,0.066,0.066,0.026,0.04,0,0.026,0.086,0.007,0.962,0.033,0.04,0.007,0.105,0,0.013,0.033,0.04,0.02,0.026,0.046,0.303,1.416,0.092,0.007,0.046,0.007,0.112,0.573,0,0.053,0,0.013,0.033,0,0.105,0.046,0.132,0.04,0.165,0
Hamilton,Hamilton_fed_61.txt,0.315,0.02,0.01,0.049,0.217,0.049,0.089,0.167,0.118,0.365,0.089,0,0.049,0.049,0.01,0,0,0.01,0.167,0.079,0.03,0,0.118,0,0.01,0.02,0.463,0.03,0.099,0.217,0.03,0.108,0.039,0.02,0.01,0.039,0.079,0.01,1.005,0.059,0.03,0.039,0.079,0,0.02,0.069,0.02,0.02,0,0.118,0.315,1.438,0.049,0.01,0.039,0,0.128,0.591,0,0.03,0.039,0,0.02,0.02,0.118,0.039,0.069,0.069,0.167,0
Hamilton,Hamilton_fed_65.txt,0.311,0.03,0.007,0.081,0.274,0.022,0.059,0.111,0.044,0.481,0.089,0.015,0.118,0.037,0,0.007,0,0.022,0.118,0.089,0.022,0.007,0.126,0,0.081,0.007,0.355,0.022,0.111,0.2,0.022,0.052,0.052,0.015,0,0.022,0.133,0,0.969,0.037,0.044,0.007,0.133,0,0,0.022,0.037,0.03,0.03,0.037,0.17,1.539,0.037,0,0.015,0,0.111,0.599,0,0.074,0.015,0.007,0,0.007,0.178,0.074,0.207,0.089,0.155,0
Hamilton,Hamilton_fed_66.txt,0.303,0.053,0.013,0.072,0.25,0.046,0.026,0.132,0.007,0.257,0.066,0.026,0.086,0.02,0.007,0,0.02,0.02,0.112,0.072,0.013,0.072,0.086,0,0,0.079,0.454,0.013,0.191,0.197,0.026,0.053,0.079,0.033,0.007,0.033,0.138,0,1.112,0.046,0.033,0.02,0.079,0.013,0.007,0.033,0.039,0.013,0.039,0.046,0.237,1.56,0.092,0.007,0.026,0,0.118,0.546,0,0.072,0.013,0.02,0.026,0.007,0.099,0.053,0.145,0.145,0.066,0
Hamilton,Hamilton_fed_67.txt,0.203,0.035,0,0.071,0.406,0.018,0.062,0.132,0.035,0.141,0.15,0.035,0.088,0.026,0,0,0.035,0,0.071,0.044,0.026,0.106,0.185,0,0.044,0.026,0.291,0.009,0.159,0.15,0.026,0.026,0.026,0.026,0,0.026,0.097,0.009,0.927,0.026,0.026,0.044,0.044,0.009,0.044,0.009,0.062,0.009,0.018,0.044,0.141,1.448,0.026,0.009,0.018,0,0.088,0.724,0.009,0.053,0.009,0,0,0,0.221,0.053,0.026,0.106,0.044,0
Hamilton,Hamilton_fed_68.txt,0.288,0.08,0.02,0.089,0.258,0.08,0.04,0.169,0.06,0.358,0.05,0.05,0.119,0.01,0.01,0,0.01,0.02,0.149,0.109,0,0.06,0.139,0,0.06,0.04,0.398,0,0.189,0.129,0.03,0.05,0.02,0.01,0,0.02,0.109,0,0.885,0.03,0.05,0.02,0.06,0.01,0.04,0.05,0.06,0.01,0.03,0.06,0.189,1.352,0.099,0,0.01,0,0.099,0.745,0,0.02,0.109,0.02,0.01,0.01,0.149,0.129,0.129,0.08,0.07,0
Hamilton,Hamilton_fed_69.txt,0.323,0.086,0.01,0.071,0.505,0.03,0.025,0.081,0.03,0.258,0.04,0.025,0.111,0.091,0.015,0,0.015,0.02,0.091,0.061,0.005,0.061,0.086,0,0.081,0.035,0.323,0.04,0.258,0.131,0.035,0.051,0.035,0.025,0,0.051,0.056,0.005,1.162,0.03,0.056,0.035,0.071,0.005,0.03,0.03,0.01,0.005,0.02,0.061,0.227,1.415,0.03,0,0.04,0.01,0.147,0.505,0,0.061,0.04,0.015,0.01,0.02,0.101,0.025,0.03,0.086,0.126,0
Hamilton,Hamilton_fed_7.txt,0.281,0.075,0,0.094,0.319,0.044,0.044,0.119,0.063,0.288,0.05,0.006,0.175,0.019,0,0,0.019,0.006,0.081,0.069,0.044,0.025,0.144,0.019,0,0.056,0.244,0.013,0.081,0.075,0.013,0.019,0.038,0.019,0,0.019,0.088,0,0.982,0.088,0.025,0.006,0.063,0.031,0.006,0.025,0.025,0.038,0.019,0.031,0.169,1.188,0.1,0,0.025,0,0.113,0.494,0.006,0.069,0.044,0.05,0.019,0.006,0.144,0.013,0.006,0.075,0.313,0
Hamilton,Hamilton_fed_70.txt,0.298,0.028,0,0.085,0.36,0.066,0.099,0.099,0.057,0.18,0.071,0.024,0.071,0.024,0.009,0,0.009,0.009,0.114,0.081,0.024,0.047,0.137,0,0.062,0.028,0.374,0.014,0.232,0.152,0.038,0.076,0.081,0.043,0.005,0.043,0.071,0.009,0.867,0.066,0.038,0.019,0.104,0.005,0.009,0.028,0.052,0.005,0.024,0.066,0.152,1.303,0.104,0.005,0.047,0,0.066,0.564,0,0.024,0.028,0.033,0.028,0.014,0.128,0.076,0.052,0.09,0.052,0
Hamilton,Hamilton_fed_71.txt,0.378,0.017,0.009,0.077,0.335,0.06,0.043,0.138,0.069,0.327,0.043,0.026,0.129,0.017,0.009,0.017,0.009,0.026,0.086,0.12,0.034,0.043,0.077,0,0.163,0.06,0.318,0,0.12,0.206,0.026,0.086,0.052,0.026,0,0.009,0.06,0,0.851,0.06,0.06,0.017,0.138,0,0.009,0.052,0.043,0.017,0.034,0.043,0.189,1.487,0.12,0.009,0.017,0,0.034,0.645,0,0.026,0.043,0.026,0.034,0.009,0.163,0.06,0.069,0.112,0.138,0
Hamilton,Hamilton_fed_72.txt,0.378,0.029,0,0.073,0.364,0.015,0.051,0.109,0.087,0.298,0.029,0.022,0.116,0.007,0,0,0.036,0.022,0.102,0.102,0.051,0.036,0.051,0,0.247,0.029,0.255,0,0.175,0.145,0.051,0.044,0.073,0.044,0,0.044,0.095,0,0.88,0.044,0.022,0.007,0.116,0,0.007,0,0.007,0.022,0.051,0.051,0.131,1.258,0.087,0.007,0.036,0.007,0.044,0.706,0.007,0.036,0.029,0.029,0.022,0.065,0.145,0.029,0.058,0.065,0.175,0
Hamilton,Hamilton_fed_73.txt,0.375,0.044,0.006,0.051,0.261,0.07,0.051,0.07,0.064,0.305,0.089,0.032,0.172,0.019,0.013,0,0.013,0.025,0.083,0.076,0.013,0.089,0.089,0,0.159,0.013,0.375,0.025,0.184,0.178,0.057,0.076,0.064,0.006,0,0.032,0.076,0.006,0.915,0.032,0.044,0.019,0.153,0.013,0.019,0.044,0.032,0.013,0.013,0.089,0.248,1.246,0.051,0,0.019,0.006,0.153,0.521,0,0.083,0.013,0.019,0.013,0.013,0.114,0.051,0.121,0.095,0.184,0
Hamilton,Hamilton_fed_74.txt,0.379,0.015,0.029,0.102,0.336,0.044,0.044,0.117,0.029,0.35,0.029,0,0.029,0,0,0,0,0.029,0.131,0.044,0.044,0.029,0.073,0,0.015,0.029,0.336,0.015,0.16,0.175,0.044,0.102,0.015,0,0,0,0.058,0,1.211,0.015,0.044,0.015,0.175,0,0.015,0.029,0.044,0,0.044,0.029,0.19,1.43,0.029,0,0.058,0,0.088,0.511,0,0.044,0.015,0.029,0,0.073,0.16,0,0.015,0.058,0.131,0
